Scale,Technology,Model,Ratio_%,Correlation,MAE_MW,RMSE_MW,Sim_GWh,Actual_GWh
Germany national,Wind,Windpowerlib MaStR fleet (ERA5 cutout),140.88,0.9762,5592.8,7809.6,166137.5,117931.3
Germany national,Wind,Atlite (ERA5 cutout),127.66,0.9738,4110.9,6537.9,150547.4,117931.3
Germany national,Solar,PVLib 30/180 (ERA5 cutout),189.81,0.9366,5988.6,10809.1,104799.6,55212.0
Germany national,Solar,PVLib MaStR orient (ERA5 cutout),184.74,0.9346,5678.6,10086.5,101999.0,55212.0
Germany national,Solar,Atlite (ERA5 cutout),162.5,0.9396,4557.0,7986.9,89720.8,55212.0
DE_50HZ,Wind,Windpowerlib MaStR fleet (ERA5 cutout),138.46,0.9766,1748.6,2589.5,52789.9,38126.5
DE_50HZ,Wind,Atlite (ERA5 cutout),124.49,0.9726,1295.5,2214.1,47461.9,38126.5
DE_50HZ,Solar,PVLib 30/180 (ERA5 cutout),170.02,0.9361,1321.5,2471.3,25565.5,15037.1
DE_50HZ,Solar,PVLib MaStR orient (ERA5 cutout),166.31,0.9366,1260.0,2322.2,25007.6,15037.1
DE_50HZ,Solar,Atlite (ERA5 cutout),145.22,0.9384,998.1,1788.4,21836.7,15037.1
DE_AMPRION,Wind,Windpowerlib MaStR fleet (ERA5 cutout),130.54,0.965,991.6,1475.6,34275.6,26257.3
DE_AMPRION,Wind,Atlite (ERA5 cutout),112.42,0.9589,716.7,1209.0,29517.6,26257.3
DE_AMPRION,Solar,PVLib 30/180 (ERA5 cutout),164.02,0.9221,1013.3,1917.9,19743.7,12037.6
DE_AMPRION,Solar,PVLib MaStR orient (ERA5 cutout),158.58,0.9184,947.6,1751.5,19088.8,12037.6
DE_AMPRION,Solar,Atlite (ERA5 cutout),144.22,0.9254,817.5,1483.5,17360.7,12037.6
DE_TENNET,Wind,Windpowerlib MaStR fleet (ERA5 cutout),150.06,0.969,2873.9,3978.5,74427.7,49598.9
DE_TENNET,Wind,Atlite (ERA5 cutout),141.79,0.967,2487.3,3659.6,70327.8,49598.9
DE_TENNET,Solar,PVLib 30/180 (ERA5 cutout),220.96,0.9322,2936.2,5300.8,45565.8,20621.3
DE_TENNET,Solar,PVLib MaStR orient (ERA5 cutout),215.53,0.9292,2810.6,5002.7,44444.4,20621.3
DE_TENNET,Solar,Atlite (ERA5 cutout),187.04,0.9362,2227.1,3947.6,38571.1,20621.3
DE_TRANSNET,Wind,Windpowerlib MaStR fleet (ERA5 cutout),117.62,0.9542,124.0,188.8,4644.4,3948.5
DE_TRANSNET,Wind,Atlite (ERA5 cutout),82.06,0.926,133.5,185.4,3240.1,3948.5
DE_TRANSNET,Solar,PVLib 30/180 (ERA5 cutout),185.27,0.9096,799.2,1475.2,13924.6,7516.0
DE_TRANSNET,Solar,PVLib MaStR orient (ERA5 cutout),179.06,0.9084,748.2,1354.3,13458.1,7516.0
DE_TRANSNET,Solar,Atlite (ERA5 cutout),159.03,0.9156,615.7,1104.4,11952.4,7516.0
